id;text;thema;number;short_version_num;invers;referat;ordering;domain;subject;topic_full;topic_de;topic_en
53;;Gesamt;53;;;;5;1;;Gesamt;Gesamt;Overall
31;Die didaktischen Faehigkeiten des/der DozentIn waren...;Gesamtbewertung;1;1;0;0;1;2;Gesamt;Ges_Didaktische.Faehigkeiten;Didaktische Faehigkeiten;Didactic skills
32;Welche Note wuerden Sie dem/der DozentIn geben?;Gesamtbewertung;2;2;0;0;2;2;Gesamt;Ges_Note.Dozent;Note Dozent;Grade lecturer
33;Welche Note wuerden Sie der Lehrveranstaltung insgesamt geben?;Gesamtbewertung;3;3;0;0;3;2;Gesamt;Ges_Note.LV;Note LV;Grade course
34;Wie schneidet diese Lehrveranstaltung ab im Vergleich zu anderen Lehrveranstaltungen?;Gesamtbewertung;4;4;0;0;4;2;Gesamt;Ges_Vergleich.mit.anderen.LVn;Vergleich mit anderen LVn;Comparison with other courses
4;Ich habe den Stoff verstanden.;Angemessene Schwierigkeit;29;0;0;0;6;3;StudentIn;Angemessene.Schwierigkeit;Angemessene Schwierigkeit;Appropriate difficulty
5;Meine Vorkenntnisse waren ausreichend.;Angemessene Schwierigkeit;32;0;0;0;6;3;StudentIn;Angemessene.Schwierigkeit;Angemessene Schwierigkeit;Appropriate difficulty
6;Man konnte dem Stoff leicht folgen.;Angemessene Schwierigkeit;33;14;0;0;6;3;StudentIn;Angemessene.Schwierigkeit;Angemessene Schwierigkeit;Appropriate difficulty
1;Es wurde zuviel Stoff behandelt.;Angemessener Arbeitsaufwand;7;0;1;0;7;3;Lehrveranstaltung;Angemessener.Arbeitsaufwand;Angemessener Arbeitsaufwand;Adequate work load
2;Der Arbeitsaufwand fuer die Lehrveranstaltung war sehr gross.;Angemessener Arbeitsaufwand;9;0;1;0;7;3;Lehrveranstaltung;Angemessener.Arbeitsaufwand;Angemessener Arbeitsaufwand;Adequate work load
3;Um der Lehrveranstaltung zu folgen, war viel zusaetzliche Arbeit noetig.;Angemessener Arbeitsaufwand;20;9;1;0;7;3;Lehrveranstaltung;Angemessener.Arbeitsaufwand;Angemessener Arbeitsaufwand;Adequate work load
7;Es wurden genuegend Beispiele und Veranschaulichungen eingesetzt.;Beispiele und Praxisbezug;24;0;0;0;8;3;Lehrveranstaltung;Beispiele.und.Praxisbezug;Beispiele und Praxisbezug;Examples and job practice
8;Der Stoff wurde anhand von Beispielen veranschaulicht.;Beispiele und Praxisbezug;16;8;0;0;8;3;Lehrveranstaltung;Beispiele.und.Praxisbezug;Beispiele und Praxisbezug;Examples and job practice
9;Ein Bezug zwischen Theorie und Praxis wurde hergestellt.;Beispiele und Praxisbezug;14;0;0;0;8;3;Lehrveranstaltung;Beispiele.und.Praxisbezug;Beispiele und Praxisbezug;Examples and job practice
10;Die Studierenden wurden ermutigt, Fragen zu stellen und an der Diskussion teilzunehmen.;Fragen und Diskussion;8;0;0;0;9;3;Lehrveranstaltung;Fragen.und.Diskussion;Fragen und Diskussion;Questions and discussions
11;Der/Die DozentIn foerderte die offene und freie Beteiligung der Studierenden.;Fragen und Diskussion;17;10;0;0;9;3;Lehrveranstaltung;Fragen.und.Diskussion;Fragen und Diskussion;Questions and discussions
12;Die Studierenden wurden zu aktiver Teilnahme angeregt.;Fragen und Diskussion;21;0;0;0;9;3;Lehrveranstaltung;Fragen.und.Diskussion;Fragen und Diskussion;Questions and discussions
